MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MALFB,CSU,Manager Compliance & Policy,7006,PSL 3.1,2390000,Unknown Status,,,,,,,,,,Vacant 
MALFB,CSU,Manager PMU,7011,PSS 6.1,2577000,Unknown Status,,,,,,,,,,Advertisement 
MALFB,CSU,Sectoral Development Coordinator,7003,PSL 4.1,2893000,Unknown Status,,,,,,,,,,Recruitment Process
MALFB,CSU,Senior M&E,7010,PSS 6.1,2577000,Unknown Status,,,,,,,,,,Awaits Commission Decision 
MALFB,CSU,Manager EP&S Unit,7008,PSS 6.1,2577000,Unknown Status,,,,,,,,,,Occupied (Acting)
MALFB,DOF,SFO Compliance Officer – ,7405,PST 2.6,2114000,Unknown Status,,,,,,,,,,Occupied (Contract)
MALFB,DOF,SFO Research Officer – ,7408,PSS 4.5,1662000,Unknown Status,,,,,,,,,,Filled
MALFB,DOF,SFO Malampa – ,7410,PSS 4.5,1662000,Unknown Status,,,,,,,,,,Filled (Internship)
MALFB,DOF,SFO Shefa,7411,PSS 4.5,1662000,Unknown Status,,,,,,,,,,Filled (Temporary)
MALFB,DOF,SFO Tafea,7412,PSS 4.5,1662000,Unknown Status,,,,,,,,,,
MALFB,DOF,SFO Penama,7413,PSS 4.5,1662000,Unknown Status,,,,,,,,,,
MALFB,DOF,SFO Sanma,7414,PSS 4.5,1662000,Unknown Status,,,,,,,,,,
MALFB,DOF,SFO Torba,7415,PSS 4.5,1662000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Tree improvement,7420,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Tree improvement,7421,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Timber inspector,7422,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Timber inspector,7423,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Shefa,7428,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Shefa,7429,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Penama,7431,PSS 3.1  ,1209000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Sanma,7432,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Assistant Shefa,7442,PSS1.9  ,1002000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Assistant Tafea,7444,PSS 3.1,1209000,Unknown Status,,,,,,,,,,
MALFB,DOF,FO Assistant Penama,7446,PSS 3.1,1209000,Unknown Status,,,,,,,,,,
MALFB,DOF ,FO Assistant Sanma ,7447,PSS 3.1 ,1209000,Unknown Status,,,,,,,,,,
MALFB,DOF ,FO Assistant Torba ,7450,PSS 3.1 ,1209000,Unknown Status,,,,,,,,,,
MALFB,DOF ,Handyman- Vila ,7456,PSO 1.1 ,652000,Unknown Status,,,,,,,,,,
MALFB,DOF ,Handyman- Luganville ,,PSO 1.1 ,652000,Unknown Status,,,,,,,,,,
MALFB,DoB ,Senior Veterinary officer ,49007604,Contract ,NA ,Unknown Status,,,,,,,,,,
MALFB,DoB ,Senior Compliance officer  ,49007606,PSS 5.5 ,2250000,Unknown Status,,,,,,,,,,
MALFB,DoB ,Assistant Meat Inspector  ,49007627,PSO 5.3 ,1702000,Unknown Status,,,,,,,,,,
MALFB,DoB ,Plant Health Inspector (Ent)  ,49007629,PSO 4.7 ,1407000,Unknown Status,,,,,,,,,,
MALFB,DoB ,Assistant Border officer ,49007634,PSS 4.5 ,1662000,Unknown Status,,,,,,,,,,
